"","X","bo_year_rank","worldwidegross","domesticgross","overseasgross","runtimeMinutes","averageRating","numVotes","Hcluster","km.cluster","numVotes_sq","bo_and_num"
"304",493,38,1.84e+08,108100000,75900000,95,5.4,29229,"4","4",854334441,1110702
"305",495,38,208100000,126400000,81700000,115,6.7,194543,"3","7",37846978849,7392634
"306",496,38,214700000,39300000,175300000,126,6.1,158566,"3","2",25143176356,6025508
"307",497,38,2.2e+08,34300000,185700000,121,6.2,141682,"3","2",20073789124,5383916
"308",498,38,238500000,174500000,64000000,120,6.9,107739,"3","7",11607692121,4094082
"309",499,39,90700000,57000000,33700000,102,6.1,5263,"5","4",27699169,205257
"310",501,39,141600000,59700000,81900000,98,5.8,101522,"5","4",10306716484,3959358
"311",502,39,127400000,77400000,50000000,80,7.5,53785,"4","8",2892826225,2097615
"312",503,39,135300000,34300000,101000000,143,7.4,275586,"3","2",75947643396,10747854
"313",504,39,147900000,90600000,57200000,110,6.1,54399,"4","4",2959251201,2121561
"314",505,39,163700000,60400000,103400000,96,7,291056,"3","2",84713595136,11351184
"315",506,39,171800000,109200000,62600000,113,5.5,96678,"4","4",9346635684,3770442
"316",508,39,201600000,161200000,40400000,147,7.9,167306,"3","2",27991297636,6524934
"317",509,39,2.17e+08,127400000,89500000,107,6.3,142713,"4","7",20367000369,5565807
"318",510,39,177600000,79900000,97700000,146,7.2,137940,"3","2",19027443600,5379660
"319",511,39,213100000,128000000,85100000,125,5.9,124982,"3","7",15620500324,4874298
"320",512,39,205400000,73100000,132300000,131,6.4,194415,"3","2",37797192225,7582185
"321",513,40,214100000,83200000,130900000,96,6.6,26122,"4","4",682358884,1044880
"322",514,40,88500000,45700000,42800000,116,7.2,21886,"6","2",478996996,875440
